ID	occurrenceId	measurementType	measurementValue	measurementUnit
1	EC:AAN:VAR:201705:001	LT	12.5	metros
2	EC:AAN:VAR:201706:001	LT	13	metros
3	EC:AAN:VAR:201906:001	LT	15.95	metros
4	EC:AAN:VAR:201907:001	LT	11.2	metros
5	EC:AAN:VAR:201908:001	LT	11.8	metros
6	EC:AAN:VAR:202007:001	LT	4.5	metros
7	EC:AAN:VAR:202106:002	LT	10.4	metros
8	EC:AAN:VAR:202101:001	LT	1.27	metros
9	EC:AAN:VAR:202101:001	LC	40	centimetros
10	EC:AAN:VAR:202101:001	LSA	21	centimetros
11	EC:AAN:VAR:202101:001	LIA	17	centimetros
12	EC:AAN:VAR:202102:001	LT	2.16	metros
13	EC:AAN:VAR:202102:001	LC	69	centimetros
14	EC:AAN:VAR:202102:001	LSA	32	centimetros
15	EC:AAN:VAR:202102:001	LIA	23	centimetros
16	EC:AAN:VAR:202102:002	LT	1.42	metros
17	EC:AAN:VAR:202102:002	LSA	20	centimetros
18	EC:AAN:VAR:202102:002	LIA	15	centimetros
19	EC:AAN:VAR:202103:001	LT	3	metros
20	EC:AAN:VAR:202103:001	LC	2.54	metros
21	EC:AAN:VAR:202103:001	LSA	70	centimetros
22	EC:AAN:VAR:202103:001	LIA	55	centimetros
23	EC:AAN:VAR:202103:002	LT	3.15	metros
24	EC:AAN:VAR:202103:002	LC	2.63	metros
25	EC:AAN:VAR:202103:002	LSA	70	centimetros
26	EC:AAN:VAR:202103:002	LIA	53	centimetros
27	EC:AAN:VAR:202104:001	LT	1.5	metros
28	EC:AAN:VAR:202104:001	LC	91	centimetros
29	EC:AAN:VAR:202104:001	LSA	20	centimetros
30	EC:AAN:VAR:202104:001	LIA	13	centimetros
31	EC:AAN:VAR:202104:002	LT	1.87	metros
32	EC:AAN:VAR:202104:002	LC	1.1	metros
33	EC:AAN:VAR:202104:002	LSA	24	centimetros
34	EC:AAN:VAR:202104:002	LIA	15	centimetros
35	EC:AAN:VAR:202104:003	LT	2.12	metros
36	EC:AAN:VAR:202104:003	LC	1.1	metros
37	EC:AAN:VAR:202104:003	LSA	45	centimetros
38	EC:AAN:VAR:202104:003	LIA	36	centimetros
39	EC:AAN:VAR:202104:004	LT	99	centimetros
40	EC:AAN:VAR:202104:004	LSA	16	centimetros
41	EC:AAN:VAR:202104:004	LIA	13	centimetros
42	EC:AAN:VAR:202105:001	LT	2.4	metros
43	EC:AAN:VAR:202105:001	LC	2.07	metros
44	EC:AAN:VAR:202105:001	LSA	69	centimetros
45	EC:AAN:VAR:202105:001	LIA	50	centimetros
46	EC:AAN:VAR:202106:003	LT	2.55	metros
47	EC:AAN:VAR:202106:003	LC	2.1	metros
48	EC:AAN:VAR:202106:003	LSA	66	centimetros
49	EC:AAN:VAR:202106:003	LIA	58	centimetros
50	EC:AAN:VAR:202106:004	LT	2.62	metros
51	EC:AAN:VAR:202106:004	LC	2.21	metros
52	EC:AAN:VAR:202106:004	LSA	75	centimetros
53	EC:AAN:VAR:202106:004	LIA	55	centimetros
54	EC:AAN:VAR:201504:002	LT	11.45	metros
55	EC:AAN:VAR:201504:003	LT	4.15	metros
56	EC:AAN:VAR:201505:003	LT	124	centimetros
57	EC:AAN:VAR:201504:002	LT	11.45	metros
58	EC:AAN:VAR:201504:003	LT	4.15	metros
59	EC:AAN:VAR:201505:004	LT	124	centimetros
60	EC:AAN:VAR:201506:006	LT	100	centimetros
61	EC:AAN:VAR:201506:007	EMB	106	centimetros
62	EC:AAN:VAR:201507:001	LT	12	metros
63	EC:AAN:VAR:201508:004	EMB	235	centimetros
64	EC:AAN:VAR:201509:008	LT	130	centimetros
65	EC:AAN:VAR:201510:008	LT	115	centimetros
66	EC:AAN:VAR:201510:009	LT	150	centimetros
67	EC:AAN:VAR:201510:010	LT	115	centimetros
68	EC:AAN:VAR:201510:011	LT	185	centimetros
69	EC:AAN:VAR:201510:012	EMB	164	centimetros
70	EC:AAN:VAR:201510:013	LT	185	centimetros
71	EC:AAN:VAR:201511:003	LT	240	centimetros
72	EC:AAN:VAR:201511:004	LT	221	centimetros
73	EC:AAN:VAR:201511:005	LT	185	centimetros
74	EC:AAN:VAR:201511:006	LCC	72	centimetros
75	EC:AAN:VAR:201511:009	LT	243	centimetros
76	EC:AAN:VAR:201511:010	LCC	68	centimetros
77	EC:AAN:VAR:201511:011	LCC	70	centimetros
78	EC:AAN:VAR:201511:012	LCC	70	centimetros
79	EC:AAN:VAR:201512:001	LCC	52	centimetros
80	EC:AAN:VAR:201512:002	LCC	60	centimetros
81	EC:AAN:VAR:201512:003	LCC	52	centimetros
82	EC:AAN:VAR:201512:004	LCC	54	centimetros
83	EC:AAN:VAR:201512:005	LT	1.35	metros
84	EC:AAN:VAR:201601:001	LCC	60	centimetros
85	EC:AAN:VAR:201601:002	LCC	53	centimetros
86	EC:AAN:VAR:201601:003	LCC	72	centimetros
87	EC:AAN:VAR:201601:004	ENB	170	centimetros
88	EC:AAN:VAR:201601:005	ENB	230	centimetros
89	EC:AAN:VAR:201601:006	EMB	210	centimetros
90	EC:AAN:VAR:201601:007	LT	250	centimetros
91	EC:AAN:VAR:201603:001	LCC	73	centimetros
92	EC:AAN:VAR:201603:002	LCC	59	centimetros
93	EC:AAN:VAR:201603:003	LCC	58	centimetros
94	EC:AAN:VAR:201603:004	LCC	63	centimetros
95	EC:AAN:VAR:201604:001	EMB	86	centimetros
96	EC:AAN:VAR:201605:001	LCC	67	centimetros
97	EC:AAN:VAR:201605:001	ACC	62	centimetros
98	EC:AAN:VAR:201605:001	AC	10	centimetros
99	EC:AAN:VAR:201605:002	LCC	78	centimetros
100	EC:AAN:VAR:201605:002	ACC	80	centimetros
101	EC:AAN:VAR:201605:002	AC	12	centimetros
102	EC:AAN:VAR:201606:001	LCC	62	centimetros
103	EC:AAN:VAR:201606:001	ACC	56	centimetros
104	EC:AAN:VAR:201606:001	AC	9.9	centimetros
105	EC:AAN:VAR:201607:001	LCC	67	centimetros
106	EC:AAN:VAR:201607:001	ACC	72	centimetros
107	EC:AAN:VAR:201607:001	AC	12	centimetros
108	EC:AAN:VAR:201607:002	LCC	60	centimetros
109	EC:AAN:VAR:201607:002	ACC	69	centimetros
110	EC:AAN:VAR:201607:002	AC	9	centimetros
111	EC:AAN:VAR:201607:003	LCC	65	centimetros
112	EC:AAN:VAR:201607:003	ACC	63	centimetros
113	EC:AAN:VAR:201607:003	AC	10	centimetros
114	EC:AAN:VAR:201608:001	LCC	44	centimetros
115	EC:AAN:VAR:201608:001	ACC	45	centimetros
116	EC:AAN:VAR:201608:001	AC	5.5	centimetros
117	EC:AAN:VAR:201608:002	LCC	50	centimetros
118	EC:AAN:VAR:201608:002	ACC	55	centimetros
119	EC:AAN:VAR:201608:002	AC	8	centimetros
120	EC:AAN:VAR:201608:003	LT	1	metros
121	EC:AAN:VAR:201608:004	LT	5.25	metros
122	EC:AAN:VAR:201609:001	LT	300	centimetros
123	EC:AAN:VAR:201609:002	LT	175	centimetros
124	EC:AAN:VAR:201611:001	LT	220	centimetros
125	EC:AAN:VAR:201611:002	LT	200	centimetros
126	EC:AAN:VAR:201611:003	LT	130	centimetros
127	EC:AAN:VAR:201611:004	LT	275	centimetros
128	EC:AAN:VAR:201611:005	LCC	65	centimetros
129	EC:AAN:VAR:201611:005	ACC	67	centimetros
130	EC:AAN:VAR:201611:005	AC	12	centimetros
131	EC:AAN:VAR:201612:001	LT	227	centimetros
132	EC:AAN:VAR:201612:002	LT	240	centimetros
133	EC:AAN:VAR:201612:003	LCC	67	centimetros
134	EC:AAN:VAR:201612:003	ACC	65	centimetros
135	EC:AAN:VAR:201612:003	AC	10	centimetros
136	EC:AAN:VAR:201701:001	LCC	68	centimetros
137	EC:AAN:VAR:201701:001	ACC	66	centimetros
138	EC:AAN:VAR:201701:001	AC	11	centimetros
139	EC:AAN:VAR:201701:002	LCC	62.5	centimetros
140	EC:AAN:VAR:201701:002	ACC	67.5	centimetros
141	EC:AAN:VAR:201701:002	AC	11	centimetros
142	EC:AAN:VAR:201701:003	LCC	69	centimetros
143	EC:AAN:VAR:201701:003	ACC	66	centimetros
144	EC:AAN:VAR:201701:003	AC	11	centimetros
145	EC:AAN:VAR:201702:001	LCC	66	centimetros
146	EC:AAN:VAR:201702:001	ACC	76	centimetros
147	EC:AAN:VAR:201702:001	AC	11	centimetros
148	EC:AAN:VAR:201702:002	LCC	70	centimetros
149	EC:AAN:VAR:201702:002	ACC	68	centimetros
150	EC:AAN:VAR:201702:002	AC	11	centimetros
151	EC:AAN:VAR:201702:003	LCC	63	centimetros
152	EC:AAN:VAR:201702:003	ACC	59	centimetros
153	EC:AAN:VAR:201702:003	AC	10	centimetros
154	EC:AAN:VAR:201704:001	LCC	72	centimetros
155	EC:AAN:VAR:201704:001	ACC	70	centimetros
156	EC:AAN:VAR:201704:001	AC	12	centimetros
157	EC:AAN:VAR:201706:001	LCC	46	centimetros
158	EC:AAN:VAR:201706:001	ACC	42	centimetros
159	EC:AAN:VAR:201706:001	AC	7	centimetros
160	EC:AAN:VAR:201706:002	LCC	69	centimetros
161	EC:AAN:VAR:201706:002	ACC	67	centimetros
162	EC:AAN:VAR:201706:002	AC	10	centimetros
163	EC:AAN:VAR:201706:003	LCC	68	centimetros
164	EC:AAN:VAR:201706:003	ACC	65	centimetros
165	EC:AAN:VAR:201706:003	AC	10	centimetros
166	EC:AAN:VAR:201706:004	LCC	66	centimetros
167	EC:AAN:VAR:201706:004	ACC	67	centimetros
168	EC:AAN:VAR:201706:004	AC	10	centimetros
169	EC:AAN:VAR:201706:005	LCC	72	centimetros
170	EC:AAN:VAR:201706:005	ACC	76	centimetros
171	EC:AAN:VAR:201706:005	AC	11	centimetros
172	EC:AAN:VAR:201706:006	LCC	66	centimetros
173	EC:AAN:VAR:201706:006	ACC	68	centimetros
174	EC:AAN:VAR:201706:006	AC	10	centimetros
175	EC:AAN:VAR:201707:001	LCC	72	centimetros
176	EC:AAN:VAR:201707:001	ACC	70	centimetros
177	EC:AAN:VAR:201707:001	AC	12	centimetros
178	EC:AAN:VAR:201707:002	LCC	42	centimetros
179	EC:AAN:VAR:201707:002	ACC	40	centimetros
180	EC:AAN:VAR:201707:002	AC	5	centimetros
181	EC:AAN:VAR:201707:003	LCC	61	centimetros
182	EC:AAN:VAR:201707:003	ACC	62	centimetros
183	EC:AAN:VAR:201707:003	AC	9	centimetros
184	EC:AAN:VAR:201708:001	LCC	73	centimetros
