id	type	language	license	rightsHolder	accessRights	bibliographicCitation	references	institutionId	datasetName	ownerInstitutionCode	basisOfRecord	occurrenceId	fieldNumber	recordedBy	verbatimEventDate	year	month	day	eventTime	continent	country	countryCode	stateProvince	county	locality	decimalLatitude	decimalLongitude	verbatimLongitude	verbatimLatitude	geodeticDatum	verbatimCoordinateSystem	taxonID	scientificName	higherClassification	kingdom	phylum	class	order	family	genus	specificEpithet	vernacularName	occurrenceRemarks	lifeStage	habitat	sex	eventRemarks	organismRemarks	disposition	fieldNotes
1	event	es	https://creativecommons.org/licenses/by-nc/4.0/	"Ministerio del Ambiente, Agua y Transición Ecológica"	CC BY-NC 4.0	"Ministerio del Ambiente, Agua y Transición Ecológica. 2021. Registro de varamientos de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020, Ecuador."	https://www.researchgate.net/publication/336722056_PROTOCOLO_DE_RESPUESTA_A_VARAMIENTOS_DE_ESPECIES_MARINAS_EN_ECUADOR	http://www.ambiente.gob.ec	Registro de varamientos de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020	MAAE	HumanObservation	EC:AAN:VAR:201501:001		"Reyes, Victor"	2015-01-07	2015	1	7	ND	South America	Ecuador	EC	Manabí	Manta	San Lorenzo	-1.0726649	-80.90610813	510446	9881438	WGS84	UTM	ec.bio.spp.45448	Lepidochelys olivacea	Animalia|Chordata|Sauropsida|Testudines|Cheloniidae|Lepidochelys	Animalia	Chordata	Sauropsida	Testudines	Cheloniidae	Lepidochelys	olivacea	Tortuga golfina	muerto	ND	ND	ND	Autolisis avanzada	corte	entierro técnico	ESTADO DESCOMPOISICION 2 CON GOLPE Y FRACTURA EN CABEZA
2	event	es	https://creativecommons.org/licenses/by-nc/4.0/	"Ministerio del Ambiente, Agua y Transición Ecológica"	CC BY-NC 4.0	"Ministerio del Ambiente, Agua y Transición Ecológica. 2021. Registro de varamientos de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020, Ecuador."	https://www.researchgate.net/publication/336722056_PROTOCOLO_DE_RESPUESTA_A_VARAMIENTOS_DE_ESPECIES_MARINAS_EN_ECUADOR	http://www.ambiente.gob.ec	Registro de varamientos de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020	MAAE	HumanObservation	EC:AAN:VAR:201501:002		"Lopez, Angel"	2015-01-08	2015	1	8	ND	South America	Ecuador	EC	Manabí	Manta	San Lorenzo	-1.07473669	-80.90473286	510599	9881209	WGS84	UTM	ec.bio.spp.45448	Lepidochelys olivacea	Animalia|Chordata|Sauropsida|Testudines|Cheloniidae|Lepidochelys	Animalia	Chordata	Sauropsida	Testudines	Cheloniidae	Lepidochelys	olivacea	Tortuga golfina	muerto	ND	ND	ND	Autolisis 	ND	entierro técnico	AVANZADO ESTADO DESCOMPOSICION #  4
3	event	es	https://creativecommons.org/licenses/by-nc/4.0/	"Ministerio del Ambiente, Agua y Transición Ecológica"	CC BY-NC 4.0	"Ministerio del Ambiente, Agua y Transición Ecológica. 2021. Registro de varamientos de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020, Ecuador."	https://www.researchgate.net/publication/336722056_PROTOCOLO_DE_RESPUESTA_A_VARAMIENTOS_DE_ESPECIES_MARINAS_EN_ECUADOR	http://www.ambiente.gob.ec	Registro de varamientos de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020	MAAE	HumanObservation	EC:AAN:VAR:201501:003		"Lara, Fausto"	2015-01-09	2015	1	9	ND	South America	Ecuador	EC	Manabí	Manta	San Lorenzo	-1.0726649	-80.90610813	510446	9881438	WGS84	UTM	ec.bio.spp.45448	Lepidochelys olivacea	Animalia|Chordata|Sauropsida|Testudines|Cheloniidae|Lepidochelys	Animalia	Chordata	Sauropsida	Testudines	Cheloniidae	Lepidochelys	olivacea	Tortuga golfina	vivo	ND	ND	ND	ND	fractura	Centro de Conservación Ex Situ	
4	event	es	https://creativecommons.org/licenses/by-nc/4.0/	"Ministerio del Ambiente, Agua y Transición Ecológica"	CC BY-NC 4.0	"Ministerio del Ambiente, Agua y Transición Ecológica. 2021. Registro de varamientos de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020, Ecuador."	https://www.researchgate.net/publication/336722056_PROTOCOLO_DE_RESPUESTA_A_VARAMIENTOS_DE_ESPECIES_MARINAS_EN_ECUADOR	http://www.ambiente.gob.ec	Registro de varamientos de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020	MAAE	HumanObservation	EC:AAN:VAR:201501:004		"Taffur, Andrés"	2015-01-18	2015	1	18	ND	South America	Ecuador	EC	Manabí	Manta	San Lorenzo	-1.0726649	-80.90610813	510446	9881438	WGS84	UTM	ec.bio.spp.45450	Dermochelys coriacea	Animalia|Chordata|Sauropsida|Testudines|Dermochelyidae|Dermochelys	Animalia	Chordata	Sauropsida	Testudines	Dermochelyidae	Dermochelys	coracea	Tortuga Laud	muerto	ND	ND	ND	ND	ND	ND	ND
5	event	es	https://creativecommons.org/licenses/by-nc/4.0/	"Ministerio del Ambiente, Agua y Transición Ecológica"	CC BY-NC 4.0	"Ministerio del Ambiente, Agua y Transición Ecológica. 2021. Registro de varamientos de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020, Ecuador."	https://www.researchgate.net/publication/336722056_PROTOCOLO_DE_RESPUESTA_A_VARAMIENTOS_DE_ESPECIES_MARINAS_EN_ECUADOR	http://www.ambiente.gob.ec	Registro de varamientos de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020	MAAE	HumanObservation	EC:AAN:VAR:201501:005		"Lara, Fausto"	2015-01-16	2015	1	16	ND	South America	Ecuador	EC	Manabí	Manta	San Lorenzo	-1.0726649	-80.90610813	510446	9881438	WGS84	UTM	ec.bio.spp.45448	Lepidochelys olivacea	Animalia|Chordata|Sauropsida|Testudines|Cheloniidae|Lepidochelys	Animalia	Chordata	Sauropsida	Testudines	Cheloniidae	Lepidochelys	olivacea	Tortuga golfina	muerto	ND	ND	macho	ND	fractura	ND	
6	event	es	https://creativecommons.org/licenses/by-nc/4.0/	"Ministerio del Ambiente, Agua y Transición Ecológica"	CC BY-NC 4.0	"Ministerio del Ambiente, Agua y Transición Ecológica. 2021. Registro de varamientos de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020, Ecuador."	https://www.researchgate.net/publication/336722056_PROTOCOLO_DE_RESPUESTA_A_VARAMIENTOS_DE_ESPECIES_MARINAS_EN_ECUADOR	http://www.ambiente.gob.ec	Registro de varamientos de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020	MAAE	HumanObservation	EC:AAN:VAR:201502:001		"Taffur, Andrés"	2015-02-15	2015	2	15	ND	South America	Ecuador	EC	Manabí	Manta	San Lorenzo	-1.06446819	-80.90985649	510029	9882344	WGS84	UTM	ec.bio.spp.45448	Lepidochelys olivacea	Animalia|Chordata|Sauropsida|Testudines|Cheloniidae|Lepidochelys	Animalia	Chordata	Sauropsida	Testudines	Cheloniidae	Lepidochelys	olivacea	Tortuga golfina	muerto	ND	ND	ND	ND	ND	ND	
7	event	es	https://creativecommons.org/licenses/by-nc/4.0/	"Ministerio del Ambiente, Agua y Transición Ecológica"	CC BY-NC 4.0	"Ministerio del Ambiente, Agua y Transición Ecológica. 2021. Registro de varamientos de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020, Ecuador."	https://www.researchgate.net/publication/336722056_PROTOCOLO_DE_RESPUESTA_A_VARAMIENTOS_DE_ESPECIES_MARINAS_EN_ECUADOR	http://www.ambiente.gob.ec	Registro de varamientos de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020	MAAE	HumanObservation	EC:AAN:VAR:201502:002		"Taffur, Andrés"	2015-02-16	2015	2	16	ND	South America	Ecuador	EC	Manabí	Manta	San Lorenzo	-1.06664856	-80.90896659	510128	9882103	WGS84	UTM	ec.bio.spp.45448	Lepidochelys olivacea	Animalia|Chordata|Sauropsida|Testudines|Cheloniidae|Lepidochelys	Animalia	Chordata	Sauropsida	Testudines	Cheloniidae	Lepidochelys	olivacea	Tortuga golfina	vivo	ND	ND	hembra	ND	golpe	Centro de Conservación Ex Situ	
8	event	es	https://creativecommons.org/licenses/by-nc/4.0/	"Ministerio del Ambiente, Agua y Transición Ecológica"	CC BY-NC 4.0	"Ministerio del Ambiente, Agua y Transición Ecológica. 2021. Registro de varamientos de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020, Ecuador."	https://www.researchgate.net/publication/336722056_PROTOCOLO_DE_RESPUESTA_A_VARAMIENTOS_DE_ESPECIES_MARINAS_EN_ECUADOR	http://www.ambiente.gob.ec	Registro de varamientos de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020	MAAE	HumanObservation	EC:AAN:VAR:201502:003		"Lopez, Angel"	2015-02-22	2015	2	22	ND	South America	Ecuador	EC	Manabí	Manta	San Lorenzo	-1.07168781	-80.90633287	510421	9881546	WGS84	UTM	ec.bio.spp.45446	Chelonia mydas	Animalia|Chordata|Sauropsida|Testudines|Cheloniidae|Chelonia	Animalia	Chordata	Sauropsida	Testudines	Cheloniidae	Chelonia	mydas	Tortuga verde	muerto	ND	ND	hembra	ND	Interacción con Pesquerias	entierro técnico	PRESENTABA ENREDAMIENTO DE ANZUELO EN ALETAS
9	event	es	https://creativecommons.org/licenses/by-nc/4.0/	"Ministerio del Ambiente, Agua y Transición Ecológica"	CC BY-NC 4.0	"Ministerio del Ambiente, Agua y Transición Ecológica. 2021. Registro de varamientos de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020, Ecuador."	https://www.researchgate.net/publication/336722056_PROTOCOLO_DE_RESPUESTA_A_VARAMIENTOS_DE_ESPECIES_MARINAS_EN_ECUADOR	http://www.ambiente.gob.ec	Registro de varamientos de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020	MAAE	HumanObservation	EC:AAN:VAR:201503:001		"Lopez, Angel"	2015-03-21	2015	3	21	ND	South America	Ecuador	EC	Manabí	Manta	San Lorenzo	-1.07808413	-80.90336653	510751	9880839	WGS84	UTM	ec.bio.spp.45446	Chelonia mydas	Animalia|Chordata|Sauropsida|Testudines|Cheloniidae|Chelonia	Animalia	Chordata	Sauropsida	Testudines	Cheloniidae	Chelonia	mydas	Tortuga verde	muerto	ND	ND	ND	Autolisis 	ND	entierro técnico	
10	event	es	https://creativecommons.org/licenses/by-nc/4.0/	"Ministerio del Ambiente, Agua y Transición Ecológica"	CC BY-NC 4.0	"Ministerio del Ambiente, Agua y Transición Ecológica. 2021. Registro de varamientos de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020, Ecuador."	https://www.researchgate.net/publication/336722056_PROTOCOLO_DE_RESPUESTA_A_VARAMIENTOS_DE_ESPECIES_MARINAS_EN_ECUADOR	http://www.ambiente.gob.ec	Registro de varamientos de fauna marino-costera en Ecuador continental para el periodo 2015 - 2020	MAAE	HumanObservation	EC:AAN:VAR:201504:001		"Lopez, Angel"	2015-04-05	2015	4	5	ND	South America	Ecuador	EC	Manabí	Manta	San Lorenzo	-1.0742572	-80.90530813	510535	9881262	WGS84	UTM	ec.bio.spp.45446	Chelonia mydas	Animalia|Chordata|Sauropsida|Testudines|Cheloniidae|Chelonia	Animalia	Chordata	Sauropsida	Testudines	Cheloniidae	Chelonia	mydas	Tortuga verde	vivo	ND	ND	ND	ND	ND	Centro de Conservación Ex Situ	
